mitadTiempoVuelo,velocidadSonido
0.00110351,362.4812012
0.00110449,362.1566162
0.00110204,362.9637451
0.00110407,362.2972107
0.00110391,362.3494873
0.00110434,362.2070923
0.00110497,361.999939
0.00110508,361.9657898
0.00110431,362.216095
0.00110378,362.3909912
0.00110476,362.0683289
0.00110252,362.8063965
0.00109893,363.9890747
0.00109735,364.513977
0.00109877,364.0436707
0.00110092,363.3332825
0.00109884,364.019989
0.00109815,364.2495422
0.00109351,365.79422
0.00109519,365.2344971
0.00109586,365.0092468
0.00110048,363.4766235
0.00110141,363.1719665
0.00109929,363.8708191
0.0011008,363.3713684
0.00110295,362.6636047
0.00109783,364.3552551
0.00110105,363.2879639
